title,pubDate,guid,link,description,Predicted_Category
"I felt enormous guilt, says ex-MP in honeytrap scandal",2024-11-15 22:00,https://www.bbc.com/news/articles/cqxwyp837ego#0,https://www.bbc.com/news/articles/cqxwyp837ego,"Earlier this year, William Wragg admitted sharing other MPs' numbers with someone he met on a dating app.",World
Four teenagers and a man guilty of murdering boys in mistaken identity case,2024-11-15 17:03,https://www.bbc.com/news/articles/c5ym7g5dx50o#0,https://www.bbc.com/news/articles/c5ym7g5dx50o,Mason Rist and Max Dixon were stabbed to death just yards from Mason's front door in Bristol.,Health
Last supermoon of 2024 captured in stunning photos across the UK,2024-11-15 22:22,https://www.bbc.com/news/articles/cx28g1vxkreo#0,https://www.bbc.com/news/articles/cx28g1vxkreo,Weather Watchers capture the last supermoon of 2024. ,World
Elon Musk adds Microsoft to lawsuit against ChatGPT-maker OpenAI,2024-11-15 17:16,https://www.bbc.com/news/articles/c93716xdgzqo#0,https://www.bbc.com/news/articles/c93716xdgzqo,"Mr Musk, a co-founder of the company, is accusing it and the tech giant of operating a monopoly.",Technology
Davina McCall recovering after brain tumour surgery,2024-11-15 20:08,https://www.bbc.com/news/articles/cy5l997xnl4o#0,https://www.bbc.com/news/articles/cy5l997xnl4o,"The TV presenter has a colloid cyst, which is not cancerous but could cause problems if it grows.",Health
Children in Need raises more than £39m,2024-11-15 22:13,https://www.bbc.com/news/articles/c8rl31p1vgvo#0,https://www.bbc.com/news/articles/c8rl31p1vgvo,Stars and the public came together to raise money for disadvantaged children across the UK.,Entertainment
Mortgage costs rise despite interest rate cut,2024-11-15 22:32,https://www.bbc.com/news/articles/cr7nje57jrlo#0,https://www.bbc.com/news/articles/cr7nje57jrlo,Lenders have been raising the cost of fixed-rate deals creating a headache for buyers and those remortgaging.,Finance
Police defend investigation into journalist Allison Pearson's social media post,2024-11-15 23:55,https://www.bbc.com/news/articles/cev9nxnygzpo#0,https://www.bbc.com/news/articles/cev9nxnygzpo,The Daily Telegraph columnist said she was left “dumbstruck and upset” by a police visit to her home.,World
Nightclub closed after security guard charged with rape,2024-11-15 21:49,https://www.bbc.com/news/articles/c4gz0ygmyl3o#0,https://www.bbc.com/news/articles/c4gz0ygmyl3o,"The popular London club has been closed on public safety grounds, say police.",Health
Met police officer sacked for viewing Sarah Everard files,2024-11-15 16:36,https://www.bbc.com/news/articles/c8dm0y33yrmo#0,https://www.bbc.com/news/articles/c8dm0y33yrmo,"The PC committed gross misconduct by improperly accessing files about the case, a tribunal rules.",World
UK snow and ice warnings issued as Arctic air sweeps in,2024-11-15 11:58,https://www.bbc.com/weather/articles/cly251d9km2o#0,https://www.bbc.com/weather/articles/cly251d9km2o,"Much colder weather is set to arrive across the UK next week, bringing widespread frosts, plunging temperatures and for some areas, snow.",Lifestyle
Five takeaways from Trump’s first week as president-elect,2024-11-15 00:43,https://www.bbc.com/news/articles/c8rlm5nzldyo#1,https://www.bbc.com/news/articles/c8rlm5nzldyo,He has made his early priorities clear - and stunned some in Washington and around the world while doing so.,Politics
The appointments to Trump's top team so far,2024-11-15 18:35,https://www.bbc.com/news/articles/cx24gze60yzo#1,https://www.bbc.com/news/articles/cx24gze60yzo,"His secretary of state, attorney general and UN ambassador have been picked - but there are plenty more posts to fill.",Politics
"What RFK Jr could do on US vaccines, fluoride and drugs",2024-11-15 17:13,https://www.bbc.com/news/articles/c4gx3kkz8z3o#1,https://www.bbc.com/news/articles/c4gx3kkz8z3o,"The vaccine sceptic would have broad power over food safety, vaccinations and pharmaceuticals.",Health
